canonical_question_id,defect_class,evidence_id,examiner,legacy_claimed_text,legacy_confidence,live_question,source_vs_live,source_wording
QB3_G#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0186,Simon,Q1,"High (session-verified, direct build)",What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.0,block chain technology
QB3_G#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0187,Simon,What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.9,What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.125,fonar
QB1_B#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0188,Simon,What is a Continuous Synopsis Record (CSR) and what types/categories of CSR entries exist?,manual,What is a Continuous Synopsis Record (CSR) and what types/categories of CSR entries exist?,0.267,"types of csr common structural rules, continue synopsis record and corporate social responsibility"
QB5_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0189,Simon,"QB5_B.html#q8, also repeated in two other Qb",,Taking Over as CE — Procedure.,0.0,macn
QB5_B#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0190,Simon,"CBDR — Constant Bearing, Decreasing Range. Explain.",0.95,"CBDR — Constant Bearing, Decreasing Range. Explain.",0.2,cbdr
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0191,Simon,RO Code?,1,RO Code?,0.0,codes related to bulk carrier
QB1_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0192,Simon,QB1_B.html#q6,,"Explain the HNS Convention — to whom does it apply, when does it enter into force, and until then what is the liability/compensation fallback (LLMC limits)?",0.0,pssa
QB4_B#q12,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0193,Simon,What is the difference between competent and skilled labour in the context of STCW and shipboard operations?,1,What is the difference between competent and skilled labour in the context of STCW and shipboard operations?,0.333,competent & skilled labour
QB4_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0196,Simon,QB4_B.html#q10,,What does 'communication' mean as a human element principle in the context of ISM and shipboard safety management?,0.0,Motivational of JE onboard
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0197,Simon,QB5_A.html#q15,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,Mentoring
QB2_A#q18,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0199,Simon,Type 1 chemical tanker — tank washing and discharge criteria for Category X cargo.,High (82% fuzzy match),Type 1 chemical tanker — tank washing and discharge criteria for Category X cargo.,0.273,oil tanker annex#1 discharge criteria
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0200,Simon,Q5,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,VICT
QB4_H#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0201,Simon,What is the AECS course and who is required to do it?,0.9,What is the AECS course and who is required to do it?,0.333,AECS
QB7_E#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0203,Simon,QB7_E.html#q5,,FLL — what will the CE know from FLL data?,0.0,UNFCC
QB4_C#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0205,Simon,QB4_C.html#q15,,Bunker shortage — CE step-by-step actions?,0.0,RO code
QB1_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0206,Simon,QB1_A.html#q15,,P&I Club — What is Protection & Indemnity? How does it differ from other marine insurance?,0.0,NOSDCP
QB2_F#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0209,Simon,What are the ventilation requirements for a totally enclosed lifeboat?,0.61,What are the ventilation requirements for a totally enclosed lifeboat?,0.0,Life boat ventillation requirement ( one not ansered in last attempt )
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0211,Simon,,0.49,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,"FLL indetail, who issues and who certifies the same"
QB4_A#q19,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0213,Simon,Explain Formal Safety Assessment (FSA) and its application to Li-Ion battery fire risk.,manual,Explain Formal Safety Assessment (FSA) and its application to Li-Ion battery fire risk.,0.2,FSA details and application.
QB4_A#q10,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0214,Simon,What is the meaning of 'statutory' in the context of ship certificates? List the main statutory certificates carried on a container vessel.,manual,What is the meaning of 'statutory' in the context of ship certificates? List the main statutory certificates carried on a container vessel.,0.182,"STATUTORY cetrificates , meaning  of word Statutory."
QB3_A#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0215,Simon,"What is the SEQ survey, and what is the supplement to the Cargo Ship Safety Equipment Certificate?",manual,"What is the SEQ survey, and what is the supplement to the Cargo Ship Safety Equipment Certificate?",0.3,SEQ survey and its supplement. ( question by internal)
QB5_A#q12,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0217,Nair,Root Cause Analysis / Fault Analysis Methods.,manual,Root Cause Analysis / Fault Analysis Methods.,0.2,Incident onboard. He asked how you solved. fault analysis method
QB9_E#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0224,Nair,"MACN — what is it, who formed it and what does it do?",manual,TMSA,0.0,MS act - what provision you required to attend competency exam.
QB2_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0226,Simon,QB2_A.html#q1,,"CSC Convention — what it covers, container testing, approval methods, certification, and how reefer container testing differs.",0.2,⁠csc convention
QB2_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0227,Simon,QB2_B.html,,What documents and certificates are required when carrying IMDG cargo? Where do you find firefighting details for IMDG cargo?,0.0,⁠container test
QB2_B#q11,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0228,Simon,"What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible f",0.75,"What is the Verified Gross Mass (VGM) of a container? What information must it contain, how do you ensure the VGM is correct, and who is responsible for declaring and deciding the container weight?",0.2,"⁠VGM, who decide the weight of the container"
QB2_A#q21,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0229,Simon,"Watertight vs weathertight &mdash; definitions, differences, and test methods.",manual,"Watertight vs weathertight — definitions, differences, and test methods.",0.222,⁠watertight and weather tight difference and test
QB1_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0230,Simon,QB1_B.html#q18,,"Explain the HNS Convention — to whom does it apply, when does it enter into force, and until then what is the liability/compensation fallback (LLMC limits)?",0.0,⁠Tacit acceptance
QB1_B#q19,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0231,Simon,What does 'clear ground' mean in the context of marine insurance/claims?,High (100% fuzzy match),What does 'clear ground' mean in the context of marine insurance/claims?,0.286,⁠Clear ground
QB1_B#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0233,Simon,How are MLC 2006 and RPSL (Recruitment and Placement Service Licence) related with respect to seafarer welfare and recruitment?,manual,How are MLC 2006 and RPSL (Recruitment and Placement Service Licence) related with respect to seafarer welfare and recruitment?,0.167,⁠MLC and RPSL difference
QB1_A#q28,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0237,Simon,Subrogation — Explain in context of marine insurance.,0.95,Subrogation — Explain in context of marine insurance.,0.25,⁠subrogation
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0238,Simon,RO Code?,1,RO Code?,0.333,"⁠Ro code, satutory meaning"
QB6_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0240,Simon,not found.,manual,Explain the IP (Industrial Personnel) Code under SOLAS Chapter XV.,0.0,⁠mmsi
QB6_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0241,Simon,not found.,manual,Explain the IP (Industrial Personnel) Code under SOLAS Chapter XV.,0.0,⁠Call sign
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0242,Simon,Q6,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,⁠official number
QB4_H#q6,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0243,Simon,Pre-existing coverage: AIS switch-off circumstances,0.85,"Under what circumstances may AIS be switched off, and what is the procedure?",0.111,⁠when you will switch of AIS
QB3_G#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0244,Simon,Q2,"High (session-verified, direct build)",What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.0,⁠LATEST AMENDMENT IN IMOLEGAL COMMITTEE
QB3_G#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0245,Simon,What is the 'Dark Fleet' (Shadow Fleet) and what safety/environmental risks does it pose?,0.9,What is the 'Dark Fleet' (Shadow Fleet) and what safety/environmental risks does it pose?,0.286,⁠DARK FLEET
QB6#q11,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0246,Simon,"Methanol as marine fuel — production types, flash point, safeties, and applicable codes?",1,"Methanol as marine fuel — production types, flash point, safeties, and applicable codes?",0.3,Methanol production and types
QB6#q11,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0247,Simon,"Methanol as marine fuel — production types, flash point, safeties, and applicable codes?",1,"Methanol as marine fuel — production types, flash point, safeties, and applicable codes?",0.3,Flash point of methanol
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0249,Simon,RO Code?,1,RO Code?,0.0,Codes applicables to ship and certificates .IBC and BCH why two codes available.
QB6#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0250,Simon,What is the GFI — how is it calculated and what is its significance? How does it differ from CII?,manual,What is the GFI — how is it calculated and what is its significance? How does it differ from CII?,0.333,GFI unit and significance of GFI.
QB6#q9,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0252,Simon,Risk vs Hazard — Difference.,manual,What are sustainable and alternative fuels in shipping? What is the difference? What is IMO's role regarding seafarers?,0.083,CII unit and difference with GFI.
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0253,Simon,Q7,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,STCW -As a chief engineer how will you decide on watchkeeping composition .(STCW CH-8)
QB4_H#q7,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0254,Simon,Pre-existing coverage: CoC vs CoP,0.85,Differentiate between a Certificate of Competency (CoC) and a Certificate of Proficiency (CoP).,0.25,Cop and Coc difference
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0256,Simon,Q8,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,casuality Investigation ?
QB4_H#q8,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0257,Simon,Pre-existing coverage: GPS/AIS jamming vs spoofing,0.85,"Explain the difference between GPS/AIS jamming and spoofing, and their implications for a Chief Engineer.",0.286,Cyber security? asked abt difference between spoofing and Jamming?
QB5_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0258,Simon,QB5_A.html#q9,,Human Element — Why is IMO focusing on it? IMO HTW Sub-committee and its functions.,0.0,Organisational behaviour
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0260,Simon,RO Code?,1,RO Code?,0.2,IP CODE? How many people required for IP code to application?
QB3_B#q8,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0261,Simon,OPRC Convention — Full form and explanation.,manual,"Describe the full drydocking process and requirements for a ship — including intervals, what inspections are carried out, and CE responsibilities.",0.077,GESAMP full form
QB3_G#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0262,Simon,Q3,"High (session-verified, direct build)",What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.0,Basel convention?
QB2_B#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0265,Nair,"Give a full overview of the IMSBC Code — scope, cargo categories (A, B, C), schedule format, and key CE responsibilities.",1,"Give a full overview of the IMSBC Code — scope, cargo categories (A, B, C), schedule format, and key CE responsibilities.",0.273,IMSBC code full
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0267,Nair,RO Code?,1,RO Code?,0.25,lstest amendment in esp code
QB4_B#q13,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0270,Nair,What are the STCW training requirements for Junior Engineers (ratings and junior officer level) onboard?,0.8,What are the STCW training requirements for Junior Engineers (ratings and junior officer level) onboard?,0.273,junior engineer training under stcw
QB1_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0272,Nair,Q5,"High (session-verified, direct build)",What is IACS Procedural Requirement (PR) 17 and when does it apply?,0.0,Bulk carrier built according ro what rules. Where mentioned in solas.
QB1_supplementary#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0273,Nair,IOPP Survey preparation as 2nd Engineer — complete checklist.,High (80% fuzzy match),IOPP Survey preparation as Chief Engineer — complete checklist.,0.125,GBS complete.
QB4_E#q11,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0275,Nair,Class notations of your vessel — list and explain each notation.,manual,Class notations of your vessel — list and explain each notation.,0.222,⁠Class notations of last ship with explanation complete
QB3_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0276,Nair,QB3_B.html#q8,,What is a hull survey — what does it cover and what are the requirements?,0.0,⁠Drydock complete
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0277,Nair,Q9,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,⁠ Explain all codes related to shipping in india
QB4_H#q9,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0278,Nair,Pre-existing coverage: WHO-related certificates,0.85,What ship certificates and documents relate to WHO (World Health Organization) requirements?,0.2,⁠All ship certificates related to WHO
QB3_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0279,Nair,QB3_B.html#q9 -,,What is a hull survey — what does it cover and what are the requirements?,0.0,⁠CLASS surveys
QB6#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0282,Nair,What are sustainable and alternative fuels in shipping? What is the difference? What is IMO's role regarding seafarers?,manual,What are sustainable and alternative fuels in shipping? What is the difference? What is IMO's role regarding seafarers?,0.091,⁠Sustainable fuel. What is meaning of sustainable.
QB7_G#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0283,Nair,"What are e-fuels, and how do they relate to shipping's net-zero target?",manual,"What are e-fuels, and how do they relate to shipping's net-zero target?",0.286,"⁠Efuel, net zero"
QB2_A#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0286,Rajappan,"Container deck fire &mdash; major reasons, EmS structure, and firefighting procedure.",1,"Container deck fire — major reasons, EmS structure, and firefighting procedure.",0.3,Major reason for container fire
QB2_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0288,Rajappan,Recent container vessel safety developments &mdash; latest SOLAS amendments and IMO guidance.,0.83,Recent container vessel safety developments — latest SOLAS amendments and IMO guidance.,0.333,Latest solas amendments related to container vessels
QB2_A#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0289,Rajappan,Li-ion battery fire on a container vessel &mdash; thermal runaway mechanism and CE&rsquo;s actions.,1,Li-ion battery fire on a container vessel — thermal runaway mechanism and CE's actions.,0.333,Li ion battery fire
QB9_E#q11,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0290,Rajappan,Maritime Lien — Explain.,manual,Difference Between Tort and Crime in Maritime Context,0.0,Marine spatial planning
QB9_E#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0291,Rajappan,not found.,manual,TMSA,0.0,Blue economy
QB4_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0293,Rajappan,QB4_A.html#q14,,State the objective and functional requirements of the ISM Code. What must a Safety Management System contain?,0.0,Dmlc part 1 part 2
QB10_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0294,Rajappan,Additional verification under ISM?,manual,Describe the type of vessel you have sailed on and its key engineering features.,0.0,Amrit kal vision details
QB1_B#q21,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0296,Rajappan,What initiatives is IMO undertaking with respect to gender equality in the maritime industry?,manual,What initiatives is IMO undertaking with respect to gender equality in the maritime industry?,0.3,What imo is doing regarding gender equality.
QB1_B#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0299,Nair,"What is the purpose of the P&A (Procedures and Arrangements) Manual, and who issues it?",manual,"What is the purpose of the P&A (Procedures and Arrangements) Manual, and who issues it?",0.167,⁠P&A manual details
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0300,Nair,Q10,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,⁠Type 1 chemical tanker tank washing operation and discharge criteria
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0303,Nair,RO Code?,1,RO Code?,0.25,⁠Latest amendment in FSS code
QB4_H#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0304,Nair,Q11,"High (session-verified, direct build)",What is the AECS course and who is required to do it?,0.0,⁠Marpol Annex 5 record books and procedure followed onboard
QB5_A#q12,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0306,Senthil,Root Cause Analysis / Fault Analysis Methods.,manual,Root Cause Analysis / Fault Analysis Methods.,0.222,Incident onboard - Route cause analysis - Downtime analysis
QB3_A#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0308,Senthil,"What are the requirements for drydock planning, and what surveys coincide with a planned drydock?",manual,"What are the requirements for drydock planning, and what surveys coincide with a planned drydock?",0.3,⁠requirements of drydock period. dry dock planning for a planed drydock
QB2_B#q16,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0311,Senthil,What are the container test procedures? Do not limit the answer to the one-door-off test — describe the full range of structural and leakage tests car,manual,What are the container test procedures? Do not limit the answer to the one-door-off test — describe the full range of structural and leakage tests carried out on containers.,0.3,⁠container test procedures - don’t say for one door off test procedure .
QB2_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0312,Senthil,Recent container vessel safety developments &mdash; latest SOLAS amendments and IMO guidance.,1,Recent container vessel safety developments — latest SOLAS amendments and IMO guidance.,0.182,⁠latest amendments in containers
QB3_G#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0315,Simon,Q4,"High (session-verified, direct build)",What is a FONAR (Fuel Oil Non-Availability Report) and when must it be filed?,0.0,MEPC 84 outcomes and cross question.
QB4_E#q4,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0318,Simon,QB4_E.html#q4 - soals latest amendments - key recent amendments and when they entered into force? (the Query is latest amendments - what specific convention or code it asks is not clear-missing context),,SOLAS latest amendments — key recent amendments and when they entered into force?,0.25,Latest amendments
QB10_A#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0319,Simon,"MACN — what is it, who formed it and what does it do?",manual,Describe the type of vessel you have sailed on and its key engineering features.,0.0,What is the latest thing that happened in OPEC.
QB2_G#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0323,Simon,Why is the rescue boat typically located on the starboard side of the vessel?,manual,Why is the rescue boat typically located on the starboard side of the vessel?,0.222,Why is the rescue board located in stdb.
QB4_C#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0326,Nair,Internal ISM audit — how to conduct step by step?,manual,Internal ISM audit — how to conduct step by step?,0.333,How will you carry out an internal audit onboard? Step by step.
QB4_C#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0327,Nair,SOLAS Chapter XI — what does it cover?,manual,SOLAS Chapter XI — what does it cover?,0.333,SOLAS Chapter XI — what are the safety and security requirements?
QB4_C#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0328,Nair,CSR and E-CSR — contents?,1,CSR and E-CSR — contents?,0.333,What is CSR (Continuous Synopsis Record)? Contents and purpose.
QB5_A#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0330,Nair,Motivation of Crew — Principles of Motivation.,manual,Motivation of Crew — Principles of Motivation.,0.333,How will you motivate your crew as CE? Theories of motivation.
QB1_B#q13,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0334,Nair,"What is marine insurance, and how does P&I Club cover differ from other forms of insurance?",manual,"What is marine insurance, and how does P&I Club cover differ from other forms of insurance?",0.333,What is P&I Club? How does it differ from hull and machinery insurance?
QB5_C_A#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0335,Nair,Training Chinese crew — language and culture barriers?,manual,Training Chinese crew — language and culture barriers?,0.2,"How will you train your crew as CE? If crew is Chinese, how does your approach change?"
QB1_A#q6,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0339,Nair,"Explain the HNS Convention — to whom does it apply, is it currently in force, and if an HNS-type pollution incident occurs where the convention is not",manual,HNS Convention — For whom does it apply? Is it in force? What is the HNS Protocol and HNS Fund?,0.154,"LLMC — what liabilities does it cover, for whom does it apply, and what happens when the limit is exceeded?"
QB4_C#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0342,Srivastava,DOC cancellation — grounds?,manual,DOC cancellation — grounds?,0.25,DOC cancellation — under what specific circumstances can a DOC be cancelled?
QB3_C#q2,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0343,Rajappan,Oil tanker amendment package?,0.75,Oil tanker amendment package?,0.071,"Latest amendments related to oil tankers — cross questions led to STCW, MLC and SOLAS amendments."
QB3_C#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0346,Rajappan,Hong Kong Convention — IHM three parts and CE role?,manual,Hong Kong Convention — IHM three parts and CE role?,0.231,"Hong Kong Convention — purpose, flag state duties, inventory of hazardous materials."
QB5_C_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0356,Nair,"Hazard identification — HAZID, HAZOP, JSA and Risk Assessment matrix?",manual,"Hazard identification — HAZID, HAZOP, JSA and Risk Assessment matrix?",0.182,Hazard identification tools — what tools are available and when are they used?
QB4_C#q13,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0359,Srivastava,GISIS?,1,GISIS?,0.2,GISIS — what is it and how is it used in the maritime regulatory framework?
QB1_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0361,Nair,"Explain the HNS Convention — to whom does it apply, is it currently in force, and if an HNS-type pollution incident occurs where the convention is not",manual,"Explain the HNS Convention — to whom does it apply, when does it enter into force, and until then what is the liability/compensation fallback (LLMC limits)?",0.25,"HNS Convention — what is HNS, liability tiers, who pays, limits."
QB1_C#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0365,Nair,Electronic inclinometers — SOLAS mandate?,manual,Electronic inclinometers — SOLAS mandate?,0.222,Electronic inclinometers — purpose and which latest amendment mandates them?
QB8_A#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0366,Rajappan,Liner consortium and freight rates?,manual,Liner consortium and freight rates?,0.333,Container liner consortium and liner conference — what are they?
QB8_A#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0367,Rajappan,Liner consortium and freight rates?,manual,Liner consortium and freight rates?,0.333,How are container freight rates decided?
QB8_B#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0375,Rajappan,Master's authority under ISM Code?,manual,P&A Manual (Procedures & Arrangements Manual) — contents and purpose?,0.0,Blockchain in shipping — how does it work and what are its applications?
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0376,Rajappan,RO Code?,1,RO Code?,0.125,Master's review and authority under ISM Code — what does the Master review and what steps follow?
QB5_A#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0379,Rajappan,Mentoring / Reverse Mentoring — What is Mentoring?,1,Mentoring / Reverse Mentoring — What is Mentoring?,0.286,Mentoring and reverse mentoring — difference. How will you handle a junior who reverse mentors you?
QB8_B#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0383,Simon,High density cargo — local vs global structural strength?,manual,High density cargo — local vs global structural strength?,0.333,High density cargo — what is it? What restrictions apply?
QB4_C#q10,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0387,Simon,NC vs MNC?,1,NC vs MNC?,0.143,NC vs MNC — difference. Who can raise a Non-Conformity onboard?
QB8_A#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0389,Simon,IMSBC Code groups A/B/C/MHB?,0.9,IMSBC Code groups A/B/C/MHB?,0.3,"IMSBC Code cargo types — Group A, B, C and MHB (Material Hazardous in Bulk)."
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0390,Simon,RO Code?,1,RO Code?,0.0,All codes and conventions applicable to bulk carriers — list them.
QB5_C_B#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0392,Simon,Q13: Simon — AR and VR in shipping — applications,manual,Q13: Simon — AR and VR in shipping — applications,0.25,AR and VR in shipping — augmented and virtual reality current applications.
